commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 Couchs Kingbird,Tyrannus couchii,COKI,4461,C,Woody Lower Canopy,,Cup,,Insects, Fruit,Air, Ground,Hawker,,Riparian, Urban,NA
 Eastern Kingbird,Tyrannus tyrannus,EAKI,4440,A,Woody Lower Canopy, Shrub,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Riparian, Forest Edge,NA
 Gray Kingbird,Tyrannus dominicensis,GRAK,4450,D,Woody Lower Canopy, Shrub,Cup,,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Shoreline,,NA
 Thick-billed Kingbird,Tyrannus crassirostris,TBKI,4451,C,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Riparian,,NA
 Tropical Kingbird,Tyrannus melancholicus,TRKI,4460,C,Woody Lower Canopy,,Cup,,Insects, Fruit,Air, Ground,Hawker, Hover & Pounce,Forest, Urban,NA
 Western Kingbird,Tyrannus verticalis,WEKI,4470,A,Woody Upper Canopy, Shrub,Cup,,Insects, Fruit,Air, Ground,Hawker, Hover & Pounce,Grassland, Riparian,NA
 Belted Kingfisher,Ceryle alcyon,BEKI,3900,B,Bank, Snag,Burrow, Cavity,Fish, Aquatic Inverts,Water,,High Dives,,Shoreline, Freshwater,NA
 Green Kingfisher,Chloroceryle americana,GKIN,3910,C,Bank,,Burrow,,Fish,NA,Water,,High Dives,,Freshwater, Swamp/Marsh,NA
 Ringed Kingfisher,Ceryle torquata,RIKI,3901,R,Bank,,Burrow,,Fish,NA,Water,,High Dives,,Freshwater,,NA
 Golden-crowned Kinglet,Regulus satrapa,GCKI,7480,R,Woody Upper Canopy,,Pendant,,Insects, Fruit,Bark, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Ruby-crowned Kinglet,Regulus calendula,RCKI,7490,B,Woody Upper Canopy,,Pendant,,Insects, Tree Sap,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Great Kiskadee,Pitangus sulphuratus,GKIS,4490,R,Woody Lower Canopy, Shrub,Sphere,,Insects, Fish,Air, Water,Hawker, High Dives,Forest, Riparian,NA
 American Swallow-tailed Kite,Elanoides forficatus,ASTK,3270,A,Woody Upper Canopy,,Platform,,Insects, Small Verts,Air, Ground,Hawker, Swooper,Forest, Swamp/Marsh,NA
 Black-shouldered Kite,Elanus caeruleus,BSKI,3280,R,Woody Upper Canopy,,Platform,,Small Mammals, Insects,Ground,,Hover & Pounce,,Grassland, Riparian,NA
 Hook-billed Kite,Chondrohierax uncinatus,HBKI,3271,R,Woody Lower Canopy,,Platform,,Aquatic Inverts, Insects,Ground, Bark,Swooper, Bark Gleaner,Swamp/Marsh, Forest,NA
 Mississippi Kite,Ictinia mississippiensis,MIKI,3290,A,Woody Upper Canopy,,Saucer,,Insects, Small Verts,Air, Ground,Hawker, High Patrol,Riparian, Forest Edge,NA
 Snail Kite,Rostrhamus sociabilis,SNKI,3300,R,Woody Lower Canopy, Shrub,Platform,,Aquatic Inverts,NA,Water,,Low Patrol, Swooper,Swamp/Marsh, Freshwater,NA
 Black-legged Kittiwake,Rissa tridactyla,BLKI,400,R,Cliff,,Cup,,Fish, Aquatic Inverts,Water,,Surface Dips, High Dives,Pelagic, Coastal,NA
 Red-legged Kittiwake,Rissa brevirostris,RLKI,410,R,Cliff,,Cup,,Fish, Aquatic Inverts,Water,,High Dives, Hover & Pick,Pelagic, Coastal,NA
 Red Knot,Calidris canutus,REKN,2340,R,Ground,,Scrape,,Insects, Seeds,Ground,,Ground Gleaner, Prober,Tundra,,NA
 Horned Lark,Eremophila alpestris,HOLA,4740,B,Ground,,Saucer,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Limpkin,Aramus guarauna,LIMP,2070,R,Ground, Shrub,Saucer,,Aquatic Inverts,NA,Water,,Prober, Ambusher,Swamp/Marsh,,NA
 Chestnut-collared Longspur,Calcarius ornatus,CCLO,5380,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland,,NA
 Lapland Longspur,Calcarius lapponicus,LALO,5360,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 McCowns Longspur,Calcarius mccownii,MCLO,5390,B,Ground,,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Smiths Longspur,Calcarius pictus,SMLO,5370,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Tundra,NA
 Arctic Loon,Gavia arctica,ARLO,90,R,Ground,,Platform,,Fish, Insects,Water, Ground,Surface Dives, Ground Gleaner,Freshwater, Tundra,NA
 Common Loon,Gavia immer,COLO,70,R,Ground,,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater,,NA
 Pacific Loon,Gavia pacifica,PALO,100,R,Ground,,Platform,,Fish, Insects,Water,,Surface Dives,,Tundra, Pelagic,NA
 Red-throated Loon,Gavia stellata,RTLO,110,R,Ground,,Saucer, Platform,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Tundra,NA
 Yellow-billed Loon,Gavia adamsii,YBLO,80,R,Ground,,Saucer,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Tundra,NA
 Black-billed Magpie,Pica pica,BBMA,4750,R,Woody Upper Canopy, Shrub,Sphere,,Insects, Carrion,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Yellow-billed Magpie,Pica nuttalli,YBMA,4760,R,Woody Upper Canopy,,Sphere,,Insects, Carrion,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Riparian,NA
 Mallard,Anas platyrhynchos,MALL,1320,R,Ground,,Scrape,,Seeds, Greens,Water,,Dabbler,,Freshwater, Swamp/Marsh,NA
 Purple Martin,Progne subis,PUMA,6110,A,Snag, MMS,Cavity,,Insects,NA,Air,,Aerial Foraging,,Grassland, Urban,NA
 Eastern Meadowlark,Sturnella magna,EAME,5010,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Western Meadowlark,Sturnella neglecta,WEME,5011,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Common Merganser,Mergus merganser,COME,1290,R,Woody Upper Canopy, Ground,Cavity, Crevice,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Riparian,NA
 Hooded Merganser,Lophodytes cucullatus,HOME,1310,R,Snag, Woody Lower Canopy,Cavity,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Red-breasted Merganser,Mergus serrator,RBME,1300,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater,,NA
 Merlin,Falco columbarius,MERL,3570,A,Woody Upper Canopy, Cliff,Platform, Cavity,Birds, Small Mammals,Air,,Aerial Pursuit, Hawker,Forest, Grassland,NA
 Northern Mockingbird,Mimus polyglottos,NOMO,7030,B,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Urban,NA
 Common Moorhen,Gallinula chloropus,COMO,2190,R,Floating, Ground,Platform, Cup,Greens, Aquatic Inverts,Water, Ground,Surface Dips, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Common Murre,Uria aalge,COMU,300,R,Cliff,,None,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Thick-billed Murre,Uria lomvia,TBMU,310,R,Cliff,,None,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Ancient Murrelet,Synthliboramphus antiquus,ANMU,210,R,Ground,,Burrow, Crevice,Aquatic Inverts, Fish,Water,,Surface Dives,,Coastal, Pelagic,NA
 Kittlitzs Murrelet,Brachyramphus brevirostris,KIMU,240,R,Ground,,None,,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Marbled Murrelet,Brachyramphus marmoratus,MAMU,230,R,Ground, Woody Upper Canopy,Saucer,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Xantus Murrelet,Synthliboramphus hypoleucus,XAMU,250,R,Ground,,Crevice, Burrow,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Crested Myna,Acridotheres cristatellus,CRMY,4931,R,Woody Upper Canopy, MMS,Cavity,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland, Urban,NA
 Antillean Nighthawk,Chordeiles gundlachii,ANNI,4201,D,Ground,,None,,Insects,NA,Air,,Aerial Foraging,,Grassland,,NA
 Common Nighthawk,Chordeiles minor,CONI,4200,A,Ground,,None,,Insects,NA,Air,,Aerial Foraging,,Grassland, Urban,NA
 Lesser Nighthawk,Chordeiles acutipennis,LENI,4210,A,Ground,,None,,Insects,NA,Air,,Aerial Foraging,,Shrubland, Shrubland,NA
 Buff-collared Nightjar,Caprimulgus ridgwayi,BCNI,4161,C,Ground,,None,,Insects,NA,Air,,Aerial Foraging,,Shrubland, Forest,NA
 Brown Noddy,Anous stolidus,BRNO,790,R,Shrub, Woody Lower Canopy,Saucer,,Fish,NA,Water,,Skimmer,,Pelagic, Shoreline,NA
 Clarks Nutcracker,Nucifraga columbiana,CLNU,4910,R,Woody Upper Canopy,,Cup,,Nuts, Seeds,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest,,NA
 Brown-headed Nuthatch,Sitta pusilla,BHNU,7290,R,Snag, Woody Lower Canopy,Cavity,,Insects, Seeds,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 Pygmy Nuthatch,Sitta pygmaea,PYNU,7300,R,Woody Upper Canopy, Snag,Cavity,,Insects, Seeds,Bark, Air,Bark Gleaner, Hover Gleaner,Forest,,NA
 Red-breasted Nuthatch,Sitta canadensis,RBNU,7280,R,Woody Upper Canopy,,Cavity,,Insects, Seeds,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 White-breasted Nuthatch,Sitta carolinensis,WBNU,7270,R,Woody Upper Canopy,,Cavity,,Insects, Nuts,Bark,,Bark Gleaner,,Forest, Forest Edge,NA
 Oldsquaw,Clangula hyemalis,OLDS,1540,R,Ground,,Scrape,,Aquatic Inverts, Fish,Water,,Surface Dives,,Coastal, Tundra,NA
 Altamira Oriole,Icterus gularis,ALOR,5031,R,Woody Upper Canopy,,Pendant,,Insects, Fruit,Foliage,,Foliage Gleaner,,Forest, Shrubland,NA
 Audubons Oriole,Icterus graduacauda,AUOR,5030,R,Woody Lower Canopy,,Pendant,,Insects, Fruit,Foliage,,Foliage Gleaner,,Shrubland, Riparian,NA
 Hooded Oriole,Icterus cucullatus,HOOR,5050,A,Woody Upper Canopy, Shrub,Pendant,,Insects, Nectar,Foliage,,Foliage Gleaner,,Riparian, Shrubland,NA
 Northern Oriole,Icterus galbula,NOOR,5070,A,Woody Upper Canopy,,Pendant,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest Edge, Urban,NA
 Orchard Oriole,Icterus spurius,OROR,5060,A,Woody Upper Canopy, Shrub,Pendant,,Insects, Fruit,Foliage,,Foliage Gleaner,,Shrubland, Forest,NA
 Scotts Oriole,Icterus parisorum,SCOR,5040,A,Woody Lower Canopy, Shrub,Pendant,,Insects, Fruit,Foliage,,Foliage Gleaner,,Shrubland, Riparian,NA
 Spot-breasted Oriole,Icterus pectoralis,SPOO,5032,R,Woody Upper Canopy,,Pendant,,Fruit, Nectar,Foliage,,Foliage Gleaner,,Forest, Shrubland,NA
 Osprey,Pandion haliaetus,OSPR,3640,R,Woody Upper Canopy, Cliff,Platform,,Fish, Small Mammals,Water,,High Dives,,Freshwater,,NA
 Ovenbird,Seiurus aurocapillus,OVEN,6740,A,Ground, Woody Lower Canopy,Oven,,Insects,NA,Ground,,Ground Gleaner,,Forest,,NA
 Barred Owl,Strix varia,BAOW,3680,R,Snag, Woody Upper Canopy,Cavity,,Small Mammals, Birds,Ground,,Low Patrol, Hover & Pounce,Forest, Swamp/Marsh,NA
 Boreal Owl,Aegolius funereus,BOOW,3710,R,Snag, Woody Lower Canopy,Cavity,,Small Mammals, Birds,Ground,,Swooper,,Forest, Swamp/Marsh,NA
 Burrowing Owl,Athene cunicularia,BUOW,3780,A,Ground,,Burrow,,Insects, Small Mammals,Ground,,Swooper, Hover & Pounce,Grassland, Urban,NA
 Common Barn Owl,Tyto alba,COBO,3650,R,Snag, MMS,Cavity,,Small Mammals, Birds,Ground,,Low Patrol, Swooper,Grassland, Urban,NA
 Eastern Screech Owl,Otus asio,EASO,3730,R,Snag, Woody Upper Canopy,Cavity,,Insects, Small Verts,Ground,,Swooper,,Forest, Riparian,NA
 Elf Owl,Micrathene whitneyi,ELOW,3810,C,Cactus, Woody Upper Canopy,Cavity,,Insects,NA,Ground,,Low Patrol, Hover & Pounce,Desert, Shrubland,NA
 Ferruginous Pygmy Owl,Glaucidium brasilianum,FEPO,3800,R,Snag, Woody Lower Canopy,Cavity,,Insects, Small Verts,Ground,,Swooper,,Desert, Shrubland,NA
 Flammulated Owl,Otus flammeolus,FLOW,3740,A,Snag,,Cavity,,Insects,NA,Air, Bark,Hawker, Bark Gleaner,Forest,,NA
 Great Gray Owl,Strix nebulosa,GGOW,3700,R,Woody Upper Canopy,,Abandoned,,Small Mammals, Birds,Ground,,Hover & Pounce, Swooper,Forest, Swamp/Marsh,NA
 Great Horned Owl,Bubo virginianus,GHOW,3750,R,Woody Upper Canopy, Cliff,Abandoned,,Small Mammals, Birds,Ground,,Swooper,,Forest, Swamp/Marsh,NA
 Long-eared Owl,Asio otus,LEOW,3660,B,Woody Upper Canopy, Ground,Abandoned,,Small Mammals, Birds,Ground,,Low Patrol,,Forest, Urban,NA
 Northern Hawk Owl,Surnia ulula,NOHO,3770,R,Snag, Woody Upper Canopy,Cavity, Platform,Small Mammals, Birds,Ground,,Swooper, Hover & Pounce,Forest, Swamp/Marsh,NA
 Northern Pygmy Owl,Glaucidium gnoma,NOPO,3790,R,Snag, Woody Lower Canopy,Cavity,,Small Mammals, Insects,Ground,,Swooper,,Forest,,NA
 Northern Saw-whet Owl,Aegolius acadicus,NSWO,3720,R,Snag, Woody Upper Canopy,Cavity,,Small Mammals, Birds,Ground,,Swooper,,Forest, Swamp/Marsh,NA
 Short-eared Owl,Asio flammeus,SEOW,3670,B,Ground,,Scrape,,Small Mammals, Birds,Ground,,Low Patrol, Swooper,Grassland, Swamp/Marsh,NA
 Snowy Owl,Nyctea scandiaca,SNOW,3760,R,Ground,,Scrape,,Small Mammals, Birds,Ground,,Swooper,,Tundra, Rocky Slope,NA
 Spotted Owl,Strix occidentalis,SPOW,3690,R,Woody Upper Canopy, Cliff,Cavity, Platform,Small Mammals, Birds,Ground,,Swooper,,Forest,,NA
 Western Screech Owl,Otus kennicotti,WESO,3732,R,Snag, Woody Upper Canopy,Cavity,,Small Mammals, Insects,Ground,,Swooper,,Riparian, Shrubland,NA
 Whiskered Screech Owl,Otus trichopsis,WHSO,3731,R,Snag,,Cavity,,Insects,NA,Ground,,Swooper,,Forest,,NA
 American Oystercatcher,Haematopus palliatus,AMOY,2860,R,Ground,,Scrape,,Aquatic Inverts, Fish,Water,,Prober,,Coastal, Pelagic,NA
 Black Oystercatcher,Haematopus bachmani,BLOY,2870,R,Ground,,Scrape,,Aquatic Inverts, Fish,Water,,Prober,,Coastal, Pelagic,NA
 Gray Partridge,Perdix perdix,GRPA,2881,R,Ground,,Scrape,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland,,NA
 Northern Parula,Parula americana,NOPA,6480,A,Woody Upper Canopy,,Pendant,,Insects,NA,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Tropical Parula,Parula pitiayumi,TRPA,6490,R,Woody Upper Canopy,,Pendant,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Common Pauraque,Nyctidromus albicollis,COPA,4190,R,Ground,,None,,Insects,NA,Air,,Aerial Foraging, Hawker,Forest, Forest Edge,NA
 American White Pelican,Pelecanus erythrorhynchos,AWPE,1250,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Surface Dips,,Coastal, Pelagic,NA
 Brown Pelican,Pelecanus occidentalis,BRPE,1260,R,Woody Upper Canopy, Cliff,Saucer,,Fish,NA,Water,,High Dives,,Coastal, Pelagic,NA
 Ashy Storm Petrel,Oceanodroma homochroa,ASSP,1080,R,Ground,,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Low Patrol, Surface Dips,Coastal, Pelagic,NA
 Black Storm Petrel,Oceanodroma melania,BLSP,1070,R,Ground, Cliff,Crevice,,Aquatic Inverts, Carrion,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 British Storm Petrel,Hydrobates pelagicus,BHSP,1040,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Fork-tailed Storm Petrel,Oceanodroma furcata,FTSP,1050,R,Cliff,,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Leachs Storm Petrel,Oceanodroma leucorhoa,LHSP,1060,R,Ground, Bank,Burrow,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Least Storm Petrel,Oceanodroma microsoma,LTSP,1030,R,Ground, Cliff,Burrow, Crevice,Greens, Aquatic Inverts,Water,,Low Patrol,,Coastal, Pelagic,NA
 Wilsons Storm Petrel,Oceanites oceanicus,WISP,1090,R,Ground, Cliff,Burrow, Crevice,Greens, Fish,Water,,Scavenger, Low Patrol,Coastal, Pelagic,NA
 Eastern Wood Pewee,Contopus virens,EAWP,4610,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Forest, Forest Edge,NA
 Greater Pewee,Contopus pertinax,GRPE,4600,C,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Forest,,NA
 Western Wood Pewee,Contopus sordidulus,WEWP,4620,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Forest, Forest Edge,NA
 Phainopepla,Phainopepla nitens,PHAI,6200,A,Woody Upper Canopy, Shrub,Cup,,Fruit, Insects,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Riparian,NA
 Red Phalarope,Phalaropus fulicarius,REPH,2220,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Surface Dips, Prober,Freshwater, Tundra,NA
 Red-necked Phalarope,Phalaropus lobatus,RNPH,2230,R,Ground,,Scrape,,Aquatic Inverts, Seeds,Water,,Surface Dips, Prober,Freshwater,,NA
 Wilsons Phalarope,Phalaropus tricolor,WIPH,2240,R,Ground,,Scrape,,Aquatic Inverts, Seeds,Water,,Surface Dips, Prober,Swamp/Marsh,,NA
 Ring-necked Pheasant,Phasianus colchicus,RNPS,3091,R,Ground,,Scrape,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Black Phoebe,Sayornis nigricans,BLPH,4580,R,Cliff, MMS,Cup,,Insects, Fish,Air,,Hawker, Hover Gleaner,Riparian, Urban,NA
 Eastern Phoebe,Sayornis phoebe,EAPH,4560,B,MMS, Cliff,Cup,,Insects, Fish,Air,,Hawker,,Riparian, Urban,NA
 Says Phoebe,Sayornis saya,SAPH,4570,B,Cliff, MMS,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Grassland, Forest,NA
 Band-tailed Pigeon,Columba fasciata,BTPI,3120,A,Woody Upper Canopy,,Platform,,Nuts, Fruit,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest,,NA
 Red-billed Pigeon,Columba flavirostris,RBPI,3130,R,Woody Upper Canopy,,Platform,,Seeds, Nuts,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest, Riparian,NA
 White-crowned Pigeon,Columba leucocephala,WCPI,3140,D,Woody Lower Canopy,,Platform,,Fruit,NA,Foliage,,Foliage Gleaner,,Swamp/Marsh,,NA
 Northern Pintail,Anas acuta,NOPI,1430,R,Ground,,Scrape,,Seeds, Greens,Water, Ground,Dabbler, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Red-throated Pipit,Anthus cervinus,RTPI,6990,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Tundra, Rocky Slope,NA
 Spragues Pipit,Anthus spragueii,SPPI,7000,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland,,NA
 Water Pipit,Anthus spinoletta,WAPI,6970,B,Ground,,Cup,,Insects, Aquatic Inverts,Ground, Air,Ground Gleaner, Hawker,Shoreline, Tundra,NA
 Black-bellied Plover,Pluvialis squatarola,BBPL,2700,R,Ground,,Scrape,,Insects,NA,Ground, Water,Ground Gleaner, Prober,Coastal, Tundra,NA
 Common Ringed Plover,Charadrius hiaticula,CRPL,2750,R,Ground,,Scrape,,Insects,NA,Ground, Water,Ground Gleaner, Prober,Coastal, Tundra,NA
 Lesser Golden Plover,Pluvialis dominica,LEGP,2720,R,Ground,,Scrape,,Insects,NA,Ground, Water,Ground Gleaner, Prober,Coastal, Tundra,NA
 Mongolian Plover,Charadrius mongolus,MOPL,2790,R,Ground,,Scrape,,Insects,NA,Ground,,Ground Gleaner,,Coastal, Tundra,NA
 Mountain Plover,Charadrius montanus,MOUP,2810,A,Ground,,Scrape,,Insects,NA,Ground, Water,Ground Gleaner,,Grassland,,NA
 Piping Plover,Charadrius melodus,PIPL,2770,R,Ground,,Scrape,,Aquatic Inverts, Insects,Ground, Water,Ground Gleaner, Prober,Coastal, Freshwater,NA
 Semipalmated Plover,Charadrius semipalmatus,SEPL,2740,R,Ground,,Scrape,,Aquatic Inverts, Insects,Ground, Water,Ground Gleaner,,Coastal, Tundra,NA
 Snowy Plover,Charadrius alexandrinus,SNPL,2780,R,Ground,,Scrape,,Insects, Aquatic Inverts,Ground, Water,Ground Gleaner, Prober,Coastal, Freshwater,NA
 Wilsons Plover,Charadrius wilsonia,WIPL,2800,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Prober,,Coastal,,NA
 Common Poor-will,Phalaenoptilus nuttallii,COPW,4180,B,Ground,,Scrape,,Insects,NA,Air,,Aerial Foraging, Hover Gleaner,Shrubland,,NA
 Greater Prairie-chicken,Tympanuchus cupido,GRPC,3050,R,Ground,,Scrape,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland,,NA
 Lesser Prairie-chicken,Tympanuchus pallidicinctus,LEPC,3070,R,Ground,,Scrape,,Insects, Nuts,Ground,,Ground Gleaner,,Grassland,,NA
 Rock Ptarmigan,Lagopus mutus,ROPT,3020,R,Ground,,Scrape,,Greens, Fruit,Ground,,Ground Gleaner,,Rocky Slope, Tundra,NA
 White-tailed Ptarmigan,Lagopus leucurus,WTPT,3040,R,Ground,,Scrape,,Greens, Insects,Ground,,Ground Gleaner,,Tundra,,NA
 Willow Ptarmigan,Lagopus lagopus,WIPT,3010,R,Ground,,Scrape,,Greens, Seeds,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Shrubland, Tundra,NA
 Atlantic Puffin,Fratercula arctica,ATPU,130,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Horned Puffin,Fratercula corniculata,HOPU,140,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Tufted Puffin,Fratercula cirrhata,TUPU,120,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
