commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 Sooty Tern,Sterna fuscata,SOTE,750,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Hover & Pick,,Coastal, Freshwater,NA
 Bendires Thrasher,Toxostoma bendirei,BETH,7080,B,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Brown Thrasher,Toxostoma rufum,BRTH,7050,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Forest Edge,NA
 California Thrasher,Toxostoma redivivum,CATH,7100,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Digging, Foliage Gleaner,Shrubland, Riparian,NA
 Crissal Thrasher,Toxostoma dorsale,CRTH,7120,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground,,Digging,,Shrubland, Riparian,NA
 Curve-billed Thrasher,Toxostoma curvirostre,CBTH,7070,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Le Contes Thrasher,Toxostoma lecontei,LCTH,7110,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Digging, Foliage Gleaner,Shrubland,,NA
 Long-billed Thrasher,Toxostoma longirostre,LBTH,7060,R,Shrub, Woody Lower Canopy,Cup,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
 Sage Thrasher,Oreoscoptes montanus,SATH,7020,B,Shrub, Ground,Cup,,Insects, Fruit,Ground,,Ground Gleaner,,Shrubland,,NA
 Gray-cheeked Thrush,Catharus minimus,GCTH,7570,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground,,Ground Gleaner,,Forest Edge, Riparian,NA
 Hermit Thrush,Catharus guttatus,HETH,7590,B,Ground, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Swainsons Thrush,Catharus ustulatus,SWTH,7580,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest, Forest Edge,NA
 Varied Thrush,Ixoreus naevius,VATH,7630,R,Woody Lower Canopy,,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 Wood Thrush,Hylocichla mustelina,WOTH,7550,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Riparian,NA
 Siberian Tit,Parus cinctus,SITI,7390,R,Snag, Woody Lower Canopy,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Riparian,NA
 Bridled Titmouse,Parus wollweberi,BRTI,7340,R,Woody Lower Canopy, Snag,Cavity,,Insects,NA,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Shrubland,NA
 Plain Titmouse,Parus inornatus,PLTI,7330,R,Woody Lower Canopy, Snag,Cavity,,Insects, Fruit,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Tufted Titmouse,Parus bicolor,TUTI,7310,R,Woody Upper Canopy, Snag,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Shrubland,NA
 Aberts Towhee,Pipilo aberti,ABTO,5920,R,Shrub, Woody Lower Canopy,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Brown Towhee,Pipilo fuscus,BRTO,5910,R,Shrub, Woody Lower Canopy,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Green-tailed Towhee,Pipilo chlorurus,GTTO,5900,A,Shrub, Ground,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Rufous-sided Towhee,Pipilo erythrophthalmus,RSTO,5870,B,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest Edge, Shrubland,NA
 Elegant Trogon,Trogon elegans,ELTR,3890,C,Snag, Bank,Cavity,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Forest, Shrubland,NA
 Red-billed Tropicbird,Phaethon aethereus,RBTR,1130,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Pelagic,NA
 White-tailed Tropicbird,Phaethon lepturus,WTTR,1120,R,Ground, Cliff,Burrow, Crevice,Fish, Aquatic Inverts,Water,,High Dives,,Coastal, Pelagic,NA
 Wild Turkey,Meleagris gallopavo,WITU,3100,R,Ground,,Scrape,,Seeds, Insects,Ground,,Ground Gleaner,,Forest, Riparian,NA
 Black Turnstone,Arenaria melanocephala,BLTU,2840,R,Ground,,Scrape,,Aquatic Inverts, Fruit,Ground,,Ground Gleaner,,Shoreline, Tundra,NA
 Ruddy Turnstone,Arenaria interpres,RUTU,2830,R,Ground,,Scrape,,Insects, Aquatic Inverts,Ground, Water,Ground Gleaner, Prober,Coastal, Tundra,NA
 Northern Beardless Tyranulet,Camptostoma imberbe,NBTY,4720,C,Woody Upper Canopy,,Sphere,,Insects, Fruit,Air,,Hawker,,Riparian, Forest,NA
 Veery,Catharus fuscescens,VEER,7560,A,Ground, Shrub,Cup,,Insects, Fruit,Ground,,Ground Gleaner, Swooper,Forest,,NA
 Verdin,Auriparus flaviceps,VERD,7460,R,Shrub, Cactus,Sphere,,Insects, Fruit,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Shrubland,,NA
 Bells Vireo,Vireo bellii,BEVI,6330,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Riparian, Shrubland,NA
 Black-capped Vireo,Vireo atricapillus,BCVI,6300,A,Woody Lower Canopy,,Cup,,Insects, Seeds,Foliage,,Foliage Gleaner,,Forest, Shrubland,NA
 Black-whiskered Vireo,Vireo altiloquus,BWVI,6230,D,Woody Lower Canopy,,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Swamp/Marsh,,NA
 Gray Vireo,Vireo vicinior,GRVI,6340,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Shrubland, Forest,NA
 Huttons Vireo,Vireo huttoni,HUVI,6320,R,Woody Lower Canopy,,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Forest,,NA
 Philadelphia Vireo,Vireo philadelphicus,PHVI,6260,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Air, Foliage,Hover Gleaner, Foliage Gleaner,Forest,,NA
 Red-eyed Vireo,Vireo olivaceus,REVI,6240,A,Shrub, Woody Upper Canopy,Cup,,Insects, Fruit,Air, Foliage,Hover Gleaner, Foliage Gleaner,Forest, Urban,NA
 Solitary Vireo,Vireo solitarius,SOVI,6290,A,Woody Lower Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Warbling Vireo,Vireo gilvus,WAVI,6270,A,Woody Upper Canopy, Shrub,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest, Riparian,NA
 White-eyed Vireo,Vireo griseus,WEVI,6310,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Shrubland, Riparian,NA
 Yellow-throated Vireo,Vireo flavifrons,YTVI,6280,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Forest, Forest Edge,NA
 Black Vulture,Coragyps atratus,BLVU,3260,R,Cliff, Ground,None,,Carrion, Small Verts,Ground,,Scavenger, High Patrol,Grassland, Shrubland,NA
 Turkey Vulture,Cathartes aura,TUVU,3250,B,Cliff, Snag,None,,Carrion,NA,Ground,,Scavenger, High Patrol,Grassland, Shrubland,NA
 White Wagtail,Motacilla alba,WHWA,6940,R,Bank, Cliff,Crevice,,Insects, Aquatic Inverts,Ground, Air,Ground Gleaner, Hawker,Shoreline, Tundra,NA
 Yellow Wagtail,Motacilla flava,YWAG,6960,R,Ground,,Cup,,Insects, Aquatic Inverts,Ground, Air,Ground Gleaner, Hawker,Shoreline, Tundra,NA
 Arctic Warbler,Phylloscopus borealis,ARWA,7470,R,Ground,,Oven,,Insects,NA,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest, Shrubland,NA
 Bachmans Warbler,Vermivora bachmanii,BAWA,6400,A,Vine Tangle, Woody Lower Canopy,Cup,,Insects,NA,Foliage,,Foliage Gleaner,,Swamp/Marsh,,NA
 Bay-breasted Warbler,Dendroica castanea,BBWA,6600,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest, Shrubland,NA
 Black-and-white Warbler,Mniotilta varia,BAWW,6360,A,Ground, Woody Lower Canopy,Cup,,Insects,NA,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 Blackburnian Warbler,Dendroica fusca,BLBW,6620,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Blackpoll Warbler,Dendroica striata,BLPW,6610,A,Woody Lower Canopy,,Cup,,Insects, Fruit,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Black-throated Blue Warbler,Dendroica caerulescens,BTBW,6540,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Air, Foliage,Hover Gleaner, Foliage Gleaner,Forest,,NA
 Black-throated Gray Warbler,Dendroica nigrescens,BTYW,6650,A,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest, Shrubland,NA
 Black-throated green Warbler,Dendroica virens,BTNW,6670,A,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Blue-winged Warbler,Vermivora pinus,BWWA,6410,A,Ground, Vine Tangle,Cup,,Insects,NA,Foliage,,Foliage Gleaner,,Shrubland, Riparian,NA
 Canada Warbler,Wilsonia canadensis,CAWA,6860,A,Ground,,Cup,,Insects,NA,Air, Foliage,Hover Gleaner, Foliage Gleaner,Forest, Riparian,NA
 Cape May Warbler,Dendroica tigrina,CMWA,6500,A,Woody Upper Canopy,,Cup,,Insects, Nectar,Foliage, Air,Foliage Gleaner, Hawker,Forest, Forest Edge,NA
 Cerulean Warbler,Dendroica cerulea,CERW,6580,A,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Chestnut-sided Warbler,Dendroica pensylvanica,CSWA,6590,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Forest,NA
 Colima Warbler,Vermivora crissalis,COLW,6471,C,Ground,,Cup,,Insects,NA,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest,,NA
 Connecticut Warbler,Oporornis agilis,CONW,6780,A,Ground, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh, Forest,NA
 Golden-cheeked Warbler,Dendroica chrysoparia,GCWA,6660,A,Woody Lower Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Golden-winged Warbler,Vermivora chrysoptera,GWWA,6420,A,Ground,,Cup,,Insects,NA,Foliage,,Foliage Gleaner,,Grassland, Shrubland,NA
 Graces Warbler,Dendroica graciae,GRWA,6640,A,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Hermit Warbler,Dendroica occidentalis,HEWA,6690,A,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Hooded Warbler,Wilsonia citrina,HOWA,6840,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest, Riparian,NA
 Kentucky Warbler,Oporornis formosus,KEWA,6770,A,Ground, Shrub,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 Kirtlands Warbler,Dendroica kirtlandii,KIWA,6700,A,Ground,,Cup,,Insects, Tree Sap,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest,,NA
 Lucys Warbler,Vermivora luciae,LUWA,6430,C,Snag, Woody Lower Canopy,Cavity,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Forest,NA
 MacGillivrays Warbler,Oporornis tolmiei,MGWA,6800,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Riparian, Forest Edge,NA
 Magnolia Warbler,Dendroica magnolia,MAWA,6570,A,Woody Lower Canopy, Shrub,Cup,,Insects, Nectar,Air, Bark,Hover Gleaner, Bark Gleaner,Forest,,NA
 Mourning Warbler,Oporornis philadelphia,MOWA,6790,A,Ground, Shrub,Cup,,Insects,NA,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Swamp/Marsh,NA
 Nashville Warbler,Vermivora ruficapilla,NAWA,6450,A,Ground,,Cup,,Insects,NA,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest, Riparian,NA
 Olive Warbler,Peucedramus taeniatus,OLWA,6510,C,Woody Upper Canopy,,Cup,,Insects,NA,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Orange-crowned Warbler,Vermivora celata,OCWA,6460,A,Ground, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Forest, Riparian,NA
 Palm Warbler,Dendroica palmarum,PAWA,6720,A,Ground, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 Pine Warbler,Dendroica pinus,PIWA,6710,R,Woody Upper Canopy,,Cup,,Insects, Seeds,Bark, Foliage,Bark Gleaner, Foliage Gleaner,Forest,,NA
 Prairie Warbler,Dendroica discolor,PRAW,6730,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Forest Edge,NA
 Prothonotary Warbler,Protonotaria citrea,PROW,6370,A,Snag, Woody Lower Canopy,Cavity,,Insects, Aquatic Inverts,Bark, Foliage,Bark Gleaner, Foliage Gleaner,Swamp/Marsh, Riparian,NA
 Red-faced Warbler,Cardellina rubrifrons,RFWA,6900,C,Ground,,Cup,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Rufous-capped Warbler,Basileuterus rufifrons,RCWA,6921,R,Ground,,Oven,,Insects,NA,Foliage, Air,Foliage Gleaner, Hawker,Shrubland, Forest,NA
 Swainsons Warbler,Limnothlypis swainsonii,SWWA,6380,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh, Riparian,NA
 Tennessee Warbler,Vermivora peregrina,TEWA,6470,A,Ground,,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Swamp/Marsh, Forest Edge,NA
 Townsends Warbler,Dendroica townsendi,TOWA,6680,A,Woody Lower Canopy,,Cup,,Insects, Seeds,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Virginias Warbler,Vermivora virginiae,VIWA,6440,A,Ground,,Cup,,Insects,NA,Ground, Air,Ground Gleaner, Hawker,Shrubland,,NA
 Wilsons Warbler,Wilsonia pusilla,WIWA,6850,A,Ground, Vine Tangle,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hover Gleaner,Shrubland, Riparian,NA
 Worm-eating Warbler,Helmitheros vermivorus,WEWA,6390,A,Ground,,Cup,,Insects,NA,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Riparian, Forest,NA
 Yellow Warbler,Dendroica petechia,YWAR,6520,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Riparian, Shrubland,NA
 Yellow-rumped Warbler,Dendroica coronata,YRWA,6550,B,Woody Upper Canopy,,Cup,,Insects, Fruit,Foliage, Air,Foliage Gleaner, Hawker,Forest,,NA
 Yellow-throated Warbler,Dendroica dominica,YTWA,6630,A,Woody Upper Canopy,,Cup,,Insects,NA,Bark, Foliage,Bark Gleaner, Foliage Gleaner,Forest, Swamp/Marsh,NA
 Louisiana Waterthrush,Seiurus motacilla,LOWA,6760,A,Ground, Bank,Cup,,Aquatic Inverts, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Riparian, Swamp/Marsh,NA
 Northern Waterthrush,Seiurus noveboracensis,NOWA,6750,A,Ground, Bank,Cup,,Aquatic Inverts, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh, Riparian,NA
 Bohemian Waxwing,Bombycilla garrulus,BOWA,6180,R,Woody Upper Canopy,,Cup,,Fruit, Insects,Foliage, Air,Foliage Gleaner, Hawker,Forest, Forest Edge,NA
 Cedar Waxwing,Bombycilla cedrorum,CEDW,6190,B,Woody Upper Canopy,,Cup,,Fruit, Insects,Foliage, Air,Foliage Gleaner, Hawker,Forest, Forest Edge,NA
 Northern Wheatear,Oenanthe oenanthe,NOWH,7650,R,Ground,,Crevice, Burrow,Insects, Seeds,Ground, Air,Ground Gleaner, Hawker,Tundra, Rocky Slope,NA
 Whimbrel,Numenius phaeopus,WHIM,2650,R,Ground,,Scrape,,Insects, Fruit,Ground, Water,Ground Gleaner, Prober,Swamp/Marsh, Tundra,NA
 Whip-poor-will,Caprimulgus vociferus,WPWI,4170,A,Ground,,None,,Insects,NA,Air,,Aerial Foraging,,Forest,,NA
 American Wigeon,Anas americana,AMWI,1370,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Dabbler,,Swamp/Marsh, Freshwater,NA
 Eurasian Wigeon,Anas penelope,EUWI,1360,R,Ground,,Scrape,,Greens, Seeds,Water,,Dabbler,,Coastal, Pelagic,NA
 Willet,Catoptrophorus semipalmatus,WILL,2580,R,Ground,,Scrape,,Insects, Aquatic Inverts,Water,,Prober,,Coastal, Pelagic,NA
 American Woodcock,Scolopax minor,AMWO,2280,R,Ground,,Scrape,,Insects,NA,Ground, Water,Prober,,Swamp/Marsh, Riparian,NA
 Acorn Woodpecker,Melanerpes formicivorus,ACWO,4070,R,Snag, Woody Upper Canopy,Cavity,,Insects, Nuts,Bark, Air,Bark Gleaner, Bark Gleaner,Forest,,NA
 Black-backed Woodpecker,Picoides arcticus,BBWO,4000,R,Snag,,Cavity,,Insects, Seeds,Bark,,Bark Gleaner,,Forest,,NA
 Downy Woodpecker,Picoides pubescens,DOWO,3940,R,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Bark,,Bark Gleaner,,Forest, Riparian,NA
 Gila Woodpecker,Melanerpes uropygialis,GIWO,4110,R,Cactus, Woody Upper Canopy,Cavity,,Insects, Fruit,Bark, Air,Bark Gleaner, Hawker,Desert, Urban,NA
 Golden-fronted Woodpecker,Melanerpes aurifrons,GFWO,4100,R,Snag, Woody Upper Canopy,Cavity,,Insects, Nuts,Bark, Ground,Bark Gleaner, Ground Gleaner,Shrubland, Riparian,NA
 Hairy Woodpecker,Picoides villosus,HAWO,3930,R,Woody Upper Canopy, Snag,Cavity,,Insects,NA,Bark,,Bark Gleaner,,Forest, Urban,NA
 Ivory-billed Woodpecker,Campephilus principalis,IBWO,3920,R,Snag, Woody Upper Canopy,Cavity,,Insects, Seeds,Bark, Ground,Bark Gleaner, Ground Gleaner,Swamp/Marsh, Riparian,NA
 Ladder-backed Woodpecker,Picoides scalaris,LBWO,3960,R,Woody Lower Canopy, Shrub,Cavity,,Insects, Fruit,Bark, Ground,Bark Gleaner, Ground Gleaner,Shrubland, Desert,NA
 Lewis Woodpecker,Melanerpes lewis,LEWO,4080,B,Woody Upper Canopy, Snag,Cavity,,Insects, Nuts,Air, Ground,Hawker, Ground Gleaner,Forest, Riparian,NA
 Nuttalls Woodpecker,Picoides nuttallii,NUWO,3970,R,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Bark, Air,Bark Gleaner, Hawker,Forest, Riparian,NA
 Pileated Woodpecker,Dryocopus pileatus,PIWO,4050,R,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Bark,,Bark Gleaner,,Forest, Urban,NA
 Red-bellied Woodpecker,Melanerpes carolinus,RBWO,4090,R,Snag, Woody Upper Canopy,Cavity,,Insects, Nuts,Bark, Air,Bark Gleaner, Hawker,Forest, Riparian,NA
 Red-cockaded Woodpecker,Picoides borealis,RCWO,3950,R,Woody Upper Canopy,,Cavity,,Insects, Fruit,Bark,,Bark Gleaner,,Forest,,NA
 Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,4060,R,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Air, Ground,Hawker, Swooper,Forest, Urban,NA
 Stricklands Woodpecker,Picoides stricklandi,STWO,3980,R,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Bark, Foliage,Bark Gleaner, Foliage Gleaner,Forest,,NA
 Three-toed Woodpecker,Picoides tridactylus,TTWO,4010,R,Snag, Woody Lower Canopy,Cavity,,Insects, Tree Sap,Bark,,Bark Gleaner,,Forest, Riparian,NA
 White-headed Woodpecker,Picoides albolarvatus,WHWO,3990,R,Snag, Woody Lower Canopy,Cavity,,Insects, Seeds,Bark, Ground,Bark Gleaner, Ground Gleaner,Forest,,NA
 Bewicks Wren,Thryomanes bewickii,BEWR,7190,R,Woody Lower Canopy, Snag,Cavity,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Shrubland,NA
 Cactus Wren,Campylorhynchus brunneicapillus,CACW,7130,R,Cactus, Woody Lower Canopy,Sphere,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Desert, Shrubland,NA
 Canyon Wren,Catherpes mexicanus,CANW,7170,R,Cliff,,Crevice,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Rocky Slope, Urban,NA
 Carolina Wren,Thryothorus ludovicianus,CARW,7180,R,Woody Lower Canopy, Snag,Cavity,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Urban,NA
 House Wren,Troglodytes aedon,HOWR,7210,A,Woody Lower Canopy, Snag,Cavity,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Urban,NA
 Marsh Wren,Cistothorus palustris,MAWR,7250,B,Reed,,Sphere,,Insects, Aquatic Inverts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh,,NA
 Sedge Wren,Cistothorus platensis,SEWR,7240,B,Ground,,Sphere,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh,,NA
 Winter Wren,Troglodytes troglodytes,WIWR,7220,R,Snag, Woody Lower Canopy,Cavity,,Insects,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Riparian,NA
 Wrentit,Chamaea fasciata,WREN,7420,R,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Shrubland, Urban,NA
 Greater Yellowlegs,Tringa melanoleuca,GRYE,2540,R,Ground,,Scrape,,Fish, Insects,Water,,Prober,,Coastal, Freshwater,NA
 Lesser Yellowlegs,Tringa flavipes,LEYE,2550,R,Ground,,Scrape,,Insects, Aquatic Inverts,Water, Ground,Prober, Ground Gleaner,Tundra,,NA
 Common Yellowthroat,Geothlypis trichas,COYE,6810,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest Edge, Grassland,NA
 Gray-crowned Yellowthroat,Geothlypis poliocephala,GCYE,6821,R,Ground,,Cup,,Insects, Fruit,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest Edge, Forest,NA
